2025-04-13 14:21:15,273 INFO    MainThread:11568 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_setup.py:_flush():67] Configure stats pid to 11568
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_setup.py:_flush():67] Loading settings from C:\Users\benal\.config\wandb\settings
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_setup.py:_flush():67] Loading settings from C:\Users\benal\OneDrive\Bureau\ChemBerta\TEST1\chemberta-regression\wandb\settings
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\benal\OneDrive\Bureau\ChemBerta\TEST1\chemberta-regression\wandb\run-20250413_142115-xpy6jn83\logs\debug.log
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\benal\OneDrive\Bureau\ChemBerta\TEST1\chemberta-regression\wandb\run-20250413_142115-xpy6jn83\logs\debug-internal.log
2025-04-13 14:21:15,274 INFO    MainThread:11568 [wandb_init.py:init():781] calling init triggers
2025-04-13 14:21:15,275 INFO    MainThread:11568 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.005, 'architecture': 'SimpleRegressor', 'dataset': 'SMILES_Big_Data_Set', 'epochs': 20, '_wandb': {}}
2025-04-13 14:21:15,275 INFO    MainThread:11568 [wandb_init.py:init():809] starting backend
2025-04-13 14:21:15,275 INFO    MainThread:11568 [wandb_init.py:init():813] sending inform_init request
2025-04-13 14:21:15,315 INFO    MainThread:11568 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-13 14:21:15,315 INFO    MainThread:11568 [wandb_init.py:init():823] backend started and connected
2025-04-13 14:21:15,317 INFO    MainThread:11568 [wandb_init.py:init():915] updated telemetry
2025-04-13 14:21:15,319 INFO    MainThread:11568 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-13 14:21:17,287 INFO    MainThread:11568 [wandb_init.py:init():1014] starting run threads in backend
2025-04-13 14:21:17,384 INFO    MainThread:11568 [wandb_run.py:_console_start():2454] atexit reg
2025-04-13 14:21:17,384 INFO    MainThread:11568 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-13 14:21:17,384 INFO    MainThread:11568 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-13 14:21:17,385 INFO    MainThread:11568 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-13 14:21:17,387 INFO    MainThread:11568 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-13 14:28:42,610 INFO    MainThread:11568 [wandb_run.py:_finish():2189] finishing run benaliamine-uvsq/Chemberta-Regression/xpy6jn83
2025-04-13 14:28:42,610 INFO    MainThread:11568 [wandb_run.py:_atexit_cleanup():2419] got exitcode: 0
2025-04-13 14:28:42,610 INFO    MainThread:11568 [wandb_run.py:_restore():2401] restore
2025-04-13 14:28:42,611 INFO    MainThread:11568 [wandb_run.py:_restore():2407] restore done
2025-04-13 14:28:43,575 INFO    MainThread:11568 [wandb_run.py:_footer_history_summary_info():4064] rendering history
2025-04-13 14:28:43,575 INFO    MainThread:11568 [wandb_run.py:_footer_history_summary_info():4096] rendering summary
2025-04-13 14:28:43,576 INFO    MainThread:11568 [wandb_run.py:_footer_sync_info():4025] logging synced files
